ChemicalID_30,Chemical,Gene,Source
9,Cadmium,EEA1,CTD
9,Cadmium,EFCAB14,CTD
9,Cadmium,EFNA5,CTD
9,Cadmium,EGF,CTD
9,Cadmium,EGFR,CTD
9,Cadmium,EGR3,CTD
9,Cadmium,EIF1,CTD
9,Cadmium,EIF2AK3,CTD
9,Cadmium,EIF2S1,CTD
9,Cadmium,EIF3L,CTD
9,Cadmium,EIF4A1,CTD
9,Cadmium,EIF5A,CTD
9,Cadmium,EIF6,CTD
9,Cadmium,ELOVL1,CTD
9,Cadmium,ELOVL5,CTD
9,Cadmium,EMILIN1,CTD
9,Cadmium,ENG,CTD
9,Cadmium,ENO1,CTD
9,Cadmium,ENPP2,CTD
9,Cadmium,EPAS1,CTD
9,Cadmium,EPO,CTD
9,Cadmium,ERBB2,CTD
9,Cadmium,ERC2,CTD
9,Cadmium,ERGIC1,CTD
9,Cadmium,ERGIC3,CTD
9,Cadmium,ERH,CTD
9,Cadmium,ERN1,CTD
9,Cadmium,ERVFRD-1,CTD
9,Cadmium,ESR1,CTD
9,Cadmium,ESR2,CTD
9,Cadmium,ESRRG,CTD
9,Cadmium,EXOC2,CTD
9,Cadmium,F11,CTD
9,Cadmium,F12,CTD
9,Cadmium,F2,CTD
9,Cadmium,F2RL3,CTD
9,Cadmium,F5,CTD
9,Cadmium,FABP5,CTD
9,Cadmium,FAM114A1,CTD
9,Cadmium,FAM157C,CTD
9,Cadmium,FAM171A1,CTD
9,Cadmium,FAU,CTD
9,Cadmium,FBN1,CTD
9,Cadmium,FBXO15,CTD
9,Cadmium,FCN3,CTD
9,Cadmium,FGGY,CTD
9,Cadmium,FIBCD1,CTD
9,Cadmium,FIP1L1,CTD
9,Cadmium,FKBP9,CTD
9,Cadmium,FKRP,CTD
9,Cadmium,FLII,CTD
9,Cadmium,FLOT2,CTD
9,Cadmium,FLT1,CTD
9,Cadmium,FN1,CTD
9,Cadmium,FNDC3A,CTD
9,Cadmium,FNDC5,CTD
9,Cadmium,FOS,CTD
9,Cadmium,FOXA2,CTD
9,Cadmium,FOXM1,CTD
9,Cadmium,FOXO1,CTD
9,Cadmium,FOXO3,CTD
9,Cadmium,FTL,CTD
9,Cadmium,G0S2,CTD
9,Cadmium,G6PC1,CTD
9,Cadmium,GALNT2,CTD
9,Cadmium,GART,CTD
9,Cadmium,GC,CTD
9,Cadmium,GDI2,CTD
9,Cadmium,GJA1,CTD
9,Cadmium,GLI1,CTD
9,Cadmium,GLRX,CTD
9,Cadmium,GNA11,CTD
9,Cadmium,GNAQ,CTD
9,Cadmium,GPC1,CTD
9,Cadmium,GPER1,CTD
9,Cadmium,GPI,CTD
9,Cadmium,GPRC5A,CTD
9,Cadmium,GPX1,CTD
9,Cadmium,GPX4,CTD
9,Cadmium,GRAMD2B,CTD
9,Cadmium,GRB10,CTD
9,Cadmium,GREB1,CTD
9,Cadmium,GRIN3A,CTD
9,Cadmium,GSDME,CTD
9,Cadmium,GSK3B,CTD
9,Cadmium,GSN,CTD
9,Cadmium,GSTO1,CTD
9,Cadmium,GSTP1,CTD
9,Cadmium,H2AX,CTD
9,Cadmium,H3C7,CTD
9,Cadmium,H4C15,CTD
9,Cadmium,HACD3,CTD
9,Cadmium,HAS2,CTD
9,Cadmium,HBA2,CTD
9,Cadmium,HBB,CTD
9,Cadmium,HDAC3,CTD
9,Cadmium,HIF1A,CTD
9,Cadmium,HK2,CTD
9,Cadmium,HLA-G,CTD
9,Cadmium,HMGA2,CTD
9,Cadmium,HMOX1,CTD
9,Cadmium,HMOX2,CTD
9,Cadmium,HNRNPA2B1,CTD
9,Cadmium,HNRNPH1,CTD
9,Cadmium,HOPX,CTD
9,Cadmium,HP,CTD
9,Cadmium,HPR,CTD
9,Cadmium,HPX,CTD
9,Cadmium,HRG,CTD
9,Cadmium,HRNR,CTD
9,Cadmium,HSD11B2,CTD
9,Cadmium,HSF1,CTD
9,Cadmium,HSF2,CTD
9,Cadmium,HSP90AA1,CTD
9,Cadmium,HSP90AB2P,CTD
9,Cadmium,HSPA1A,CTD
9,Cadmium,HSPA5,CTD
9,Cadmium,HSPB1,CTD
9,Cadmium,HSPH1,CTD
9,Cadmium,HUWE1,CTD
9,Cadmium,HYAL1,CTD
9,Cadmium,IDH2,CTD
9,Cadmium,IFNG,CTD
9,Cadmium,IGF1,CTD
9,Cadmium,IGF1R,CTD
9,Cadmium,IGF2,CTD
9,Cadmium,IGFALS,CTD
9,Cadmium,IGFBP1,CTD
9,Cadmium,IGFBP4,CTD
9,Cadmium,IGFBP5,CTD
9,Cadmium,IGH,CTD
9,Cadmium,IGHA1,CTD
9,Cadmium,IGHG1,CTD
9,Cadmium,IGHG4,CTD
9,Cadmium,IGHM,CTD
9,Cadmium,IGK,CTD
9,Cadmium,IGKV3-20,CTD
9,Cadmium,IGKV3D-15,CTD
9,Cadmium,IGL,CTD
9,Cadmium,IGLV3-21,CTD
9,Cadmium,IKBIP,CTD
9,Cadmium,IKBKB,CTD
9,Cadmium,IL10,CTD
9,Cadmium,IL18,CTD
9,Cadmium,IL1B,CTD
9,Cadmium,IL6,CTD
9,Cadmium,IMMP2L,CTD
9,Cadmium,INS,CTD
9,Cadmium,IPO7,CTD
9,Cadmium,IRF3,CTD
9,Cadmium,IRS1,CTD
9,Cadmium,IRS2,CTD
9,Cadmium,ITGA3,CTD
9,Cadmium,ITGA5,CTD
9,Cadmium,ITGA6,CTD
9,Cadmium,ITGAM,CTD
9,Cadmium,ITGAV,CTD
9,Cadmium,ITGB1,CTD
9,Cadmium,ITGB2,CTD
9,Cadmium,ITIH1,CTD
9,Cadmium,ITIH2,CTD
9,Cadmium,ITIH4,CTD
9,Cadmium,ITM2C,CTD
9,Cadmium,JCHAIN,CTD
9,Cadmium,JUN,CTD
9,Cadmium,JUNB,CTD
9,Cadmium,JUP,CTD
9,Cadmium,KCNMA1,CTD
9,Cadmium,KDR,CTD
9,Cadmium,KEAP1,CTD
9,Cadmium,KIAA1217,CTD
9,Cadmium,KIAA2013,CTD
9,Cadmium,KIDINS220,CTD
9,Cadmium,KL,CTD
9,Cadmium,KLKB1,CTD
9,Cadmium,KNG1,CTD
9,Cadmium,KNTC1,CTD
9,Cadmium,KPNA6,CTD
9,Cadmium,KRT1,CTD
9,Cadmium,KRT10,CTD
9,Cadmium,KRT14,CTD
9,Cadmium,KRT16,CTD
9,Cadmium,KRT17,CTD
9,Cadmium,KRT2,CTD
9,Cadmium,KRT31,CTD
9,Cadmium,KRT5,CTD
9,Cadmium,KRT6A,CTD
9,Cadmium,KRT6B,CTD
9,Cadmium,KRT6C,CTD
9,Cadmium,KRT7,CTD
9,Cadmium,KRT78,CTD
9,Cadmium,KRT83,CTD
9,Cadmium,KRT9,CTD
9,Cadmium,LAMB1,CTD
9,Cadmium,LAMB2,CTD
9,Cadmium,LAMP1,CTD
9,Cadmium,LAMP2,CTD
9,Cadmium,LARS1,CTD
9,Cadmium,LBP,CTD
9,Cadmium,LBR,CTD
9,Cadmium,LDHA,CTD
9,Cadmium,LDLRAD4,CTD
9,Cadmium,LEF1,CTD
9,Cadmium,LGALS1,CTD
9,Cadmium,LGALS13,CTD
9,Cadmium,LHFPL2,CTD
9,Cadmium,LMAN1,CTD
9,Cadmium,LRG1,CTD
9,Cadmium,LRRC15,CTD
9,Cadmium,LRRC59,CTD
9,Cadmium,LTBP1,CTD
9,Cadmium,LTF,CTD
9,Cadmium,MAB21L4,CTD
9,Cadmium,MAP1LC3B,CTD
9,Cadmium,MAP2K1,CTD
9,Cadmium,MAP2K2,CTD
9,Cadmium,MAP2K3,CTD
9,Cadmium,MAP2K4,CTD
9,Cadmium,MAP2K6,CTD
9,Cadmium,MAPK1,CTD
9,Cadmium,MAPK10,CTD
9,Cadmium,MAPK11,CTD
9,Cadmium,MAPK12,CTD
9,Cadmium,MAPK13,CTD
9,Cadmium,MAPK14,CTD
9,Cadmium,MAPK3,CTD
9,Cadmium,MAPK8,CTD
9,Cadmium,MAPK9,CTD
9,Cadmium,MAPT,CTD
9,Cadmium,MAT2B,CTD
9,Cadmium,MATCAP2,CTD
9,Cadmium,MCM6,CTD
9,Cadmium,MED1,CTD
9,Cadmium,MED27,CTD
9,Cadmium,MEG3,CTD
9,Cadmium,MET,CTD
9,Cadmium,MFN2,CTD
9,Cadmium,MGMT,CTD
9,Cadmium,MGST1,CTD
9,Cadmium,MIF,CTD
9,Cadmium,MIR146B,CTD
9,Cadmium,MIR16-2,CTD
9,Cadmium,MIR181A2,CTD
9,Cadmium,MIR363,CTD
9,Cadmium,MIR6769B,CTD
9,Cadmium,MLKL,CTD
9,Cadmium,MMP2,CTD
9,Cadmium,MMP9,CTD
9,Cadmium,MOXD1,CTD
9,Cadmium,MST1,CTD
9,Cadmium,MT1A,CTD
9,Cadmium,MT1F,CTD
9,Cadmium,MT1G,CTD
9,Cadmium,MT1X,CTD
9,Cadmium,MT2A,CTD
9,Cadmium,MT3,CTD
9,Cadmium,MTDH,CTD
9,Cadmium,MTF1,CTD
9,Cadmium,MTOR,CTD
9,Cadmium,MTTP,CTD
9,Cadmium,MYC,CTD
9,Cadmium,MYH14,CTD
9,Cadmium,MYLK,CTD
9,Cadmium,MYO1B,CTD
9,Cadmium,MYO1C,CTD
9,Cadmium,NACA,CTD
9,Cadmium,NAP1L1,CTD
9,Cadmium,NCKAP1,CTD
9,Cadmium,NCOA1,CTD
9,Cadmium,NCOR1,CTD
9,Cadmium,ND1,CTD
9,Cadmium,NDRG1,CTD
9,Cadmium,NDUFS8,CTD
9,Cadmium,NDUFV1,CTD
9,Cadmium,NEK9,CTD
9,Cadmium,NES,CTD
9,Cadmium,NFATC2,CTD
9,Cadmium,NFE2L2,CTD
9,Cadmium,NFKBIA,CTD
9,Cadmium,NLRP3,CTD
9,Cadmium,NME2,CTD
9,Cadmium,NOS2,CTD
9,Cadmium,NPC1,CTD
9,Cadmium,NPLOC4,CTD
9,Cadmium,NQO1,CTD
9,Cadmium,NR0B1,CTD
9,Cadmium,NR0B2,CTD
9,Cadmium,NR3C1,CTD
9,Cadmium,NR4A1,CTD
9,Cadmium,NRIP1,CTD
9,Cadmium,NRP1,CTD
9,Cadmium,NTM,CTD
9,Cadmium,NUCLEOLIN,CTD
9,Cadmium,NUPR1,CTD
9,Cadmium,OAT,CTD
9,Cadmium,OGG1,CTD
9,Cadmium,ORM1,CTD
9,Cadmium,ORM2,CTD
9,Cadmium,OXGR1,CTD
9,Cadmium,P4HA1,CTD
9,Cadmium,PABPC1,CTD
9,Cadmium,PACC1,CTD
9,Cadmium,PANK1,CTD
9,Cadmium,PARP1,CTD
9,Cadmium,PBK,CTD
9,Cadmium,PCDH9,CTD
9,Cadmium,PCK1,CTD
9,Cadmium,PCNA,CTD
9,Cadmium,PDCD6IP,CTD
9,Cadmium,PDE6C,CTD
9,Cadmium,PDGFA,CTD
9,Cadmium,PDGFB,CTD
9,Cadmium,PDGFRA,CTD
9,Cadmium,PDIA6,CTD
9,Cadmium,PDK1,CTD
9,Cadmium,PDK4,CTD
9,Cadmium,PDLIM5,CTD
9,Cadmium,PDZK1,CTD
9,Cadmium,PEPCK1,CTD
9,Cadmium,PFKFB3,CTD
9,Cadmium,PGD,CTD
9,Cadmium,PGK1,CTD
9,Cadmium,PGLS,CTD
9,Cadmium,PGR,CTD
9,Cadmium,PHB2,CTD
9,Cadmium,PHGDH,CTD
9,Cadmium,PI4K2A,CTD
9,Cadmium,PI4K2B,CTD
9,Cadmium,PIEZO1,CTD
9,Cadmium,PIK3CA,CTD
9,Cadmium,PIP,CTD
9,Cadmium,PKM,CTD
9,Cadmium,PLAT,CTD
9,Cadmium,PLAUR,CTD
9,Cadmium,PLBD2,CTD
9,Cadmium,PLD3,CTD
9,Cadmium,PLIN3,CTD
9,Cadmium,PLOD2,CTD
9,Cadmium,PLP2,CTD
9,Cadmium,PLPP7,CTD
9,Cadmium,PLRG1,CTD
9,Cadmium,PLSCR3,CTD
9,Cadmium,PLXNB2,CTD
9,Cadmium,PMAIP1,CTD
9,Cadmium,POLR2B,CTD
9,Cadmium,PON1,CTD
9,Cadmium,PPARD,CTD
9,Cadmium,PPARG,CTD
9,Cadmium,PPARGC1A,CTD
9,Cadmium,PPAT,CTD
9,Cadmium,PPBP,CTD
9,Cadmium,PPP1CA,CTD
9,Cadmium,PPP2R1A,CTD
9,Cadmium,PPP3CA,CTD
9,Cadmium,PPP3R1,CTD
9,Cadmium,PPP4R2,CTD
9,Cadmium,PRDX6,CTD
9,Cadmium,PREP,CTD
9,Cadmium,PRKAG2,CTD
9,Cadmium,PRKCSH,CTD
9,Cadmium,PRL,CTD
9,Cadmium,PRMT1,CTD
9,Cadmium,PRR13,CTD
9,Cadmium,PRSS23,CTD
9,Cadmium,PSMB2,CTD
9,Cadmium,PSMB3,CTD
9,Cadmium,PSMC1,CTD
9,Cadmium,PSMC2,CTD
9,Cadmium,PSMC3,CTD
9,Cadmium,PSMD14,CTD
9,Cadmium,PSMD6,CTD
9,Cadmium,PTCH2,CTD
9,Cadmium,PTGS2,CTD
9,Cadmium,PTK7,CTD
9,Cadmium,PTPN11,CTD
9,Cadmium,PTPRO,CTD
9,Cadmium,PTRH2,CTD
9,Cadmium,PYCARD,CTD
9,Cadmium,PZP,CTD
9,Cadmium,RAB1A,CTD
9,Cadmium,RAB2A,CTD
9,Cadmium,RAB3B,CTD
9,Cadmium,RAF1,CTD
9,Cadmium,RANGAP1,CTD
9,Cadmium,RAP1B,CTD
9,Cadmium,RAP2B,CTD
9,Cadmium,RAP2C,CTD
9,Cadmium,RARA,CTD
9,Cadmium,RASAL1,CTD
9,Cadmium,RASSF1,CTD
9,Cadmium,RB1,CTD
9,Cadmium,RBM39,CTD
9,Cadmium,RECQL,CTD
9,Cadmium,REEP5,CTD
9,Cadmium,RELA,CTD
9,Cadmium,RGS19,CTD
9,Cadmium,RGS20,CTD
9,Cadmium,RICTOR,CTD
9,Cadmium,RINT1,CTD
9,Cadmium,RIPK1,CTD
9,Cadmium,RIPK3,CTD
9,Cadmium,RPL11,CTD
9,Cadmium,RPL17,CTD
9,Cadmium,RPL31,CTD
9,Cadmium,RPL39,CTD
9,Cadmium,RPLP0,CTD
9,Cadmium,RPN1,CTD
9,Cadmium,RPS13,CTD
9,Cadmium,RPS27L,CTD
9,Cadmium,RPS5,CTD
9,Cadmium,RPS6KB1,CTD
9,Cadmium,RPS7,CTD
9,Cadmium,RPSA,CTD
9,Cadmium,RRM1,CTD
9,Cadmium,RUNX2,CTD
9,Cadmium,S100A16,CTD
9,Cadmium,S100A7,CTD
9,Cadmium,S100P,CTD
9,Cadmium,SAFB,CTD
9,Cadmium,SAMD9,CTD
9,Cadmium,SCAMP1,CTD
9,Cadmium,SCAMP2,CTD
9,Cadmium,SCN7A,CTD
