method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,display_label,family_display,log10_p,nominal_positive,nominal_positive_rank,label_point
survey_weighted,odds_ratio,0.5531885224499279,0.2593908042737577,1.1797547805409765,0.3708432870503397,30,0.12085578368079744,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Ethylbenzene_binary_S,VOC_serum.rds,CHD,Coronary heart disease,binary_above_detection_threshold,3088,98,2990,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.5498457395936088,Volatile Organic Compounds (VOC),serum,Ethylbenzene_binary_S,Volatile Organic Compounds (VOC),0.9177325611392307,FALSE,,FALSE
survey_weighted,odds_ratio,0.7650579786243551,0.5417057340803301,1.0805012275723622,0.1690414474278819,30,0.1236235085005118,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,ATCA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2160,71,2089,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5498457395936088,Volatile Organic Compounds (VOC),urine,ATCA_ln_U,Volatile Organic Compounds (VOC),0.9078989350623474,FALSE,,FALSE
survey_weighted,odds_ratio,2.3065806125615262,0.7787703505268334,6.831685513766087,0.5316652276960623,30,0.12644413972118854,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BuP_binary_U,PCCP_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,2141,70,2071,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5498457395936088,Personal Care Products,urine,BuP_binary_U,Personal Care Products,0.8981012940042551,FALSE,,FALSE
survey_weighted,odds_ratio,0.3579681221072055,0.090792152119887,1.4113684217525158,0.6436329161187053,15,0.13131198764792945,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFBA_binary_U,PFC_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1010,30,980,15,2,2013-2014,WTSSBH2Y,ok,,0.5498457395936088,Polyfluoroalkyl Substances (PFAS),urine,PFBA_binary_U,Polyfluoroalkyl Substances (PFAS),0.8816956247734268,FALSE,,FALSE
survey_weighted,odds_ratio,1.3457310958023685,0.9078509796575616,1.9948121693854897,0.1927325920609317,30,0.133879974227511,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,GLYP_ln_U,GYLP_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1937,74,1863,30,4,2013-2014|2015-2016,WTSSCH2Y|WTSSGL2Y,ok,,0.5498457395936088,Herbicides,urine,GLYP_ln_U,Herbicides,0.873284379917867,FALSE,,FALSE
survey_weighted,odds_ratio,0.8702323925580352,0.7218158579719781,1.0491656683534405,0.08772913825147521,15,0.13396292039390725,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_AN_ln_U,AA_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1106,32,1074,15,2,2013-2014,WTSA2YR,ok,,0.5498457395936088,Aromatic Amines,urine,1_AN_ln_U,Aromatic Amines,0.8730153934019961,FALSE,,FALSE
survey_weighted,odds_ratio,1.4772204388878456,0.8733661205637148,2.49858584354006,0.2573420933551734,30,0.13995556962336692,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2226,74,2152,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5498457395936088,Heavy Metals,urine,Cd_ln_U,Metals and metalloids,0.8540098138211565,FALSE,,FALSE
survey_weighted,odds_ratio,0.7418289373320944,0.4959902754438825,1.1095180682136738,0.19711491093871053,30,0.14022911479568548,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Pb_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2226,74,2152,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5498457395936088,Heavy Metals,urine,Pb_ln_U,Metals and metalloids,0.8531618074650578,FALSE,,FALSE
survey_weighted,odds_ratio,1.3746020517204236,0.8876662797550494,2.128649970927601,0.21413582142811427,30,0.14776452646042634,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2176,72,2104,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5645362677590647,Volatile Organic Compounds (VOC),urine,MA_ln_U,Volatile Organic Compounds (VOC),0.8304298136514909,FALSE,,FALSE
survey_weighted,odds_ratio,0.4907834212377541,0.17535955971122735,1.3735684952590193,0.4828471977510944,15,0.16113820697642156,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,n_PFOA_ln_S,PFC_serum.rds,CHD,Coronary heart disease,natural_log_transformed,994,36,958,15,2,2015-2016,WTSB2YR,ok,,0.6002398209871703,Polyfluoroalkyl Substances (PFAS),serum,n_PFOA_ln_S,Polyfluoroalkyl Substances (PFAS),0.7928014731642204,FALSE,,FALSE
survey_weighted,odds_ratio,0.6559645004554789,0.35254775543183,1.2205138714633188,0.29131376069182585,15,0.16836015553838615,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DEP_ln_U,pesticides_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1036,39,997,15,2,2015-2016,WTSB2YR,ok,,0.611714677235582,Pesticides,urine,DEP_ln_U,Pesticides,0.7737606817038226,FALSE,,FALSE
