"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Beta_Interaction","Interaction_Low","Interaction_High","P_Interaction","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Interaction_Direction"
"PPDA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",945,523,422,-3.39341982033394,-8.73094249315568,1.9441028524878,0.212735000399721,0.96782499090822,0.709857390100895,-1.7817779104137,-5.64821942487845,2.08466360405106,-5.17519773074764,-9.46481037151611,-0.885585089979165,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"Ba_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2266,1251,1015,-0.999882865779159,-2.67736434252678,0.677598610968465,0.216264864997309,0.96782499090822,0.709857390100895,1.13163326515833,-0.460229838430441,2.72349636874709,0.131750399379167,-0.649542287209923,0.913043085968257,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"TCC_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2214,1217,997,2.48303772967053,-1.69214490021861,6.65822035955966,0.217234279129794,0.96782499090822,0.709857390100895,-2.05807876541997,-5.37034926005928,1.25419172921934,0.424958964250555,-1.85046072367862,2.70037865217973,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"MeA_a_C_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1162,639,523,3.60479468070938,-2.24105388316896,9.45064324458771,0.226818188918221,0.96782499090822,0.717045429584856,-9.77724389804743,-14.2114950156456,-5.34299278044927,-6.17244921733806,-9.05485438978436,-3.29004404489175,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"Sm_PFOS_ln_S","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",1045,583,462,1.47670191549412,-0.954695670015183,3.90809950100342,0.233897795333452,0.96782499090822,0.717045429584856,-0.0911793288622403,-2.36358934710129,2.18123068937681,1.38552258663188,0.115081519074382,2.65596365418937,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"BCPP_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2053,1120,933,2.31727554598202,-1.74671374377348,6.38126483573752,0.235488210466842,0.96782499090822,0.717045429584856,-2.32694421736153,-5.13689277632344,0.483004341600377,-0.00966867137951155,-2.74590936605107,2.72657202329205,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"AsB_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2272,1255,1017,-1.65520089686668,-4.57612170511544,1.26571991138208,0.238213078956043,0.96782499090822,0.717045429584856,1.78205187373372,-0.469950408975914,4.03405415644336,0.126850976867041,-1.5795212754581,1.83322322919218,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"BCETP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2049,1119,930,0.897613099252907,-0.71980402450107,2.51503022300688,0.247439118332156,0.96782499090822,0.740908086721115,-0.759579909152587,-2.15076847339349,0.631608655088314,0.138033190100321,-1.10794576937548,1.38401214957612,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"HIBP_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2131,1176,955,-1.11225747493797,-3.12743050443369,0.902915554557742,0.249870009112322,0.96782499090822,0.740908086721115,0.937353979840062,-0.391024788081813,2.26573274776194,-0.174903495097911,-1.43587051664914,1.08606352645332,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"X4FPBA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",2266,1226,1040,3.33899254036837,-2.90930061765233,9.58728569838906,0.264352875366967,0.96782499090822,0.765743909399809,-3.03751429670644,-8.79782509004144,2.72279649662857,0.30147824366193,-2.40029097729306,3.00324746461692,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"A_a_C_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1162,640,522,-2.30233086377323,-6.40614005771218,1.80147833016573,0.271513135449012,0.96782499090822,0.765743909399809,-4.13510592866951,-6.92053169860903,-1.34968015872999,-6.43743679244274,-8.70000113968492,-4.17487244520055,"More negative / less positive toxicant–LE8_no_sleep association in lifestyle-risk group"
"CEMA_AAM_ln_U","Sleep","LE8_no_sleep","Continuous","Continuous, per 1 SD",2190,1207,983,0.951356016140403,-0.875797431323269,2.77850946360407,0.276113713465202,0.96782499090822,0.765743909399809,-1.12809766552539,-2.5352994128339,0.279104081783118,-0.176741649384987,-1.47497695314878,1.12149365437881,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"PFHxA_binary_U","Sleep","LE8_no_sleep","Binary","Binary 0/1",1094,592,502,2.49148769307953,-2.03932753011855,7.02230291627761,0.281131541539064,0.96782499090822,0.768598159437073,1.02999914355954,-2.89314757440927,4.95314586152835,3.52148683663907,-0.288029649319083,7.33100332259723,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
"DBCM_binary_S","Sleep","LE8_no_sleep","Binary","Binary 0/1",3373,1859,1514,1.91678425186202,-1.84534890730484,5.67891741102888,0.286006000556777,0.96782499090822,0.769894580565299,-1.82847638813096,-4.13531078864631,0.478358012384381,0.0883078637310615,-2.46051513412073,2.63713086158285,"More positive / less negative toxicant–LE8_no_sleep association in lifestyle-risk group"
