"category_group_id","family","outcome","variable","z","est","se"
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.36848626325948,0.101228845210023,0.17034108694869
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.49909133946006,0.121084545156831,0.180719627403437
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.62969641566065,0.141453956820071,0.191429220207048
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.76030149186123,0.162328793872963,0.202478297936413
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",2.89090656806181,0.183700568775912,0.213874254168243
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.0215116442624,0.205560598572143,0.225623454967919
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.15211672046298,0.227900010799894,0.237731263297698
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.28272179666356,0.250709749479425,0.250202072446178
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.41332687286415,0.273980581301653,0.26303934632803
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.54393194906473,0.29770310186203,0.276245663563981
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.67453702526531,0.321867742038617,0.289822764055877
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.80514210146589,0.346464774456852,0.303771596499898
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",3.93574717766648,0.371484320041958,0.318092365766696
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",4.06635225386706,0.396916354680738,0.332784579513764
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",4.19695733006764,0.422750715960804,0.347847093334015
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",4.32756240626823,0.448977109953489,0.363278153969651
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.7660886590815,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.62050930208393,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.47492994508636,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.32935058808879,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.18377123109123,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-2.03819187409366,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.89261251709609,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.74703316009852,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.60145380310095,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.45587444610339,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.31029508910582,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.16471573210825,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-1.01913637511068,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.873557018113116,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.727977661115548,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.58239830411798,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.436818947120412,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.291239590122845,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-0.145660233125277,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",-8.08761277091286e-05,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.145498480869859,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.291077837867426,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.436657194864994,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.582236551862562,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.727815908860129,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.873395265857697,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.01897462285526,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.16455397985283,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.3101333368504,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.45571269384797,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.60129205084554,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.7468714078431,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",1.89245076484067,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.03803012183824,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.18360947883581,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.32918883583337,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.47476819283094,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.62034754982851,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.76592690682608,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",2.91150626382365,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.05708562082121,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.20266497781878,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.34824433481635,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.49382369181392,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.63940304881148,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.78498240580905,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",3.93056176280662,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",4.07614111980419,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",4.22172047680175,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",4.36729983379932,0,0.0269057071367069
"C04","Urinary PAH metabolites","CVD","X23_OH_PH_ln_U",-2.48697503248888,0.11653903369215,0.11207992206621
"C04","Urinary PAH metabolites","CVD","X23_OH_PH_ln_U",-2.3229332839301,0.110073047579335,0.104536343050506
"C04","Urinary PAH metabolites","CVD","X23_OH_PH_ln_U",-2.15889153537131,0.10370889499166,0.0970456224120412
"C04","Urinary PAH metabolites","CVD","X23_OH_PH_ln_U",-1.99484978681253,0.0974470751594927,0.08961623171728
