Scenario,Category,CategoryID,GO,Description,LogP,Log(q-value),FDR,Count,HitListN,GeneRatio,Hits,SourceFile
Full,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,-14,-12,6.14421235332821e-6,20,116,0.1724137931034483,CAV1|CPS1|ACE|EDN1|ESR1|FBN1|MTOR|GNAQ|NR3C1|HRAS|IRS1|NONO|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|RAF1|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05010,Alzheimer disease,-14,-12,6.14421235332821e-6,18,116,0.15517241379310345,APOE|APP|CASP8|CTNNB1|MTOR|GNAQ|HRAS|IL6|IRS1|MAPT|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|EIF2AK3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0080164,regulation of nitric oxide metabolic process,-14,-11,1.670170079024566e-5,10,116,0.08620689655172414,APOE|APP|CAV1|EDN1|ESR1|IL10|PKD2|PTGS2|SIGMAR1|ADNP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05167,Kaposi sarcoma-associated herpesvirus infection,-14,-11,1.670170079024566e-5,14,116,0.1206896551724138,CASP8|CTNNB1|MTOR|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VEGFA|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05210,Colorectal cancer,-14,-11,1.670170079024566e-5,11,116,0.09482758620689655,CTNNB1|MTOR|HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0048568,embryonic organ development,-13,-11,1.670170079024566e-5,15,116,0.12931034482758622,CASP8|CTNNB1|EDN1|ENG|FBN1|FBN2|EFEMP1|KCNQ1|KDR|NOTCH1|PKD2|TGFBR1|VEGFA|NPHP3|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04935,"Growth hormone synthesis, secretion and action",-13,-11,1.670170079024566e-5,12,116,0.10344827586206896,MTOR|GNA11|GNAQ|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,-13,-11,1.670170079024566e-5,20,116,0.1724137931034483,APP|CASP8|CAV1|CSF1R|EDN1|FGFR1|MTOR|GRN|HRAS|IL6|KDR|MET|NOTCH1|SERPINE1|MAPK1|MAP2K1|PTGS2|PTK2|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1903034,regulation of response to wounding,-13,-11,1.670170079024566e-5,13,116,0.11206896551724138,ALOX5|APOE|CAV1|EDN1|F12|MTOR|GRN|HRAS|IL10|SERPINE1|PTK2|TNFAIP3|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05170,Human immunodeficiency virus 1 infection,-13,-11,1.670170079024566e-5,14,116,0.1206896551724138,CASP8|MTOR|GNA11|GNAQ|HRAS|LIMK1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051247,positive regulation of protein metabolic process,-13,-11,1.670170079024566e-5,22,116,0.1896551724137931,APOE|APP|CASP8|CAV1|CSF1R|CTNNB1|F12|FGFR1|MTOR|GRN|IL6|IL10|KDR|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TNFAIP3|VCP|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,-13,-11,1.670170079024566e-5,15,116,0.12931034482758622,APP|CSF1R|DRD3|ENG|FGFR1|MTOR|IRS1|KDR|PIK3CA|PTK2|PTPN11|TGFBR1|TSC2|VEGFA|STAMBP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,-13,-11,1.670170079024566e-5,20,116,0.1724137931034483,APP|CASP8|CAV1|CSF1R|EDN1|FGFR1|MTOR|GRN|HRAS|IL6|KDR|MET|NOTCH1|SERPINE1|MAPK1|MAP2K1|PTGS2|PTK2|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04068,FoxO signaling pathway,-13,-10,4.5399929762484854e-5,12,116,0.10344827586206896,HRAS|IL6|IL10|IRS1|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05211,Renal cell carcinoma,-13,-10,4.5399929762484854e-5,10,116,0.08620689655172414,HRAS|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa01522,Endocrine resistance,-13,-10,4.5399929762484854e-5,11,116,0.09482758620689655,ESR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001944,vasculature development,-13,-10,4.5399929762484854e-5,16,116,0.13793103448275862,ACVR2B|CASP8|CAV1|CTNND1|EDN1|ENG|FBN1|KDR|NOTCH1|SERPINE1|PIK3CA|PKD2|PTK2|TGFBR1|VEGFA|EIF2AK3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,-13,-10,4.5399929762484854e-5,20,116,0.1724137931034483,APP|CASP8|CAV1|CSF1R|EDN1|FGFR1|MTOR|GRN|HRAS|IL6|KDR|MET|NOTCH1|SERPINE1|MAPK1|MAP2K1|PTGS2|PTK2|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05135,Yersinia infection,-13,-10,4.5399929762484854e-5,12,116,0.10344827586206896,ACTB|GNAQ|IL6|IL10|LIMK1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05142,Chagas disease,-13,-10,4.5399929762484854e-5,11,116,0.09482758620689655,CASP8|ACE|GNA11|GNAQ|IL6|IL10|SERPINE1|PIK3CA|PIK3R2|MAPK1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,-13,-10,4.5399929762484854e-5,20,116,0.1724137931034483,APOE|APP|CAV1|CSF1R|EDN1|FGFR1|HRAS|IL6|KDR|SMAD4|NOTCH1|PIK3R2|PPARG|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|VEGFA|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05418,Fluid shear stress and atherosclerosis,-13,-10,4.5399929762484854e-5,12,116,0.10344827586206896,ACTB|ACVR2B|CAV1|CTNNB1|EDN1|KDR|PIK3CA|PIK3R2|PTK2|VEGFA|SQSTM1|NCF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,-12,-10,4.5399929762484854e-5,18,116,0.15517241379310345,APOA1|APOE|CAV1|DCTN1|HRAS|KDR|LIMK1|SMAD4|MAPT|PIK3CA|PTK2|TGFBR1|TSC1|VCP|VEGFA|PIEZO1|EMILIN1|ADNP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04550,Signaling pathways regulating pluripotency of stem cells,-12,-10,4.5399929762484854e-5,12,116,0.10344827586206896,ACVR2B|CTNNB1|FGFR1|HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|KAT6A,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05220,Chronic myeloid leukemia,-12,-10,4.5399929762484854e-5,10,116,0.08620689655172414,HRAS|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa04014,Ras signaling pathway,-12,-10,4.5399929762484854e-5,14,116,0.1206896551724138,CSF1R|FGFR1|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|VEGFA|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05224,Breast cancer,-12,-10,4.5399929762484854e-5,12,116,0.10344827586206896,CTNNB1|ESR1|FGFR1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05226,Gastric cancer,-12,-10,4.5399929762484854e-5,12,116,0.10344827586206896,CTNNB1|MTOR|HRAS|SMAD4|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,-12,-9.9,5.017468205617528e-5,19,116,0.16379310344827586,APP|CSF1R|EDN1|FGFR1|GRN|IL6|KDR|MET|NONO|SERPINE1|MAPK1|PTGS2|PTK2|PTPN11|TNFAIP3|VEGFA|MATR3|EMILIN1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0045428,regulation of nitric oxide biosynthetic process,-12,-9.8,5.5451599432176945e-5,9,116,0.07758620689655173,APOE|APP|CAV1|EDN1|ESR1|IL10|PKD2|PTGS2|SIGMAR1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0001568,blood vessel development,-12,-9.7,6.128349505322213e-5,15,116,0.12931034482758622,ACVR2B|CASP8|CAV1|CTNND1|EDN1|ENG|FBN1|KDR|NOTCH1|SERPINE1|PKD2|PTK2|TGFBR1|VEGFA|EIF2AK3,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
