ChemicalID_30,Chemical,Gene,Number_of_supporting_sources,Source
16,MeA-alpha-C,TBK1,1,SwissTargetPrediction
16,MeA-alpha-C,TGFBR1,1,SwissTargetPrediction
17,Mono-benzyl phthalate,ESR1,1,CTD
17,Mono-benzyl phthalate,PPARG,2,CTD; SwissTargetPrediction
21,"N,N-Dimethylformamide",MAPK1,1,CTD
10,Naphthalene,ESR1,1,CTD
23,Phenanthrene,ESR1,1,CTD
11,Styrene,PTGS2,1,CTD
6,Toluene,ACE,1,CTD
6,Toluene,ACOT2,1,CTD
6,Toluene,ACTC1,1,CTD
6,Toluene,ACVR2B,1,CTD
6,Toluene,ADAMTSL2,1,CTD
6,Toluene,ANKRD11,1,CTD
6,Toluene,CLIP2,1,CTD
6,Toluene,IL6,1,CTD
6,Toluene,NOTCH1,1,CTD
6,Toluene,PTGS2,1,CTD
22,Xylene,ACE,1,CTD
22,Xylene,CLIP2,1,CTD
22,Xylene,NOTCH1,1,CTD
