Category,Description,LogP,Log(q-value),#GeneInGOAndHitList,#GeneInHitList,Hits,CategoryID,GO,Enrichment,FDR,Significant_FDR_0_05,GeneID,LogQ,Count,HitListN,GeneRatio,MinusLog10FDR
KEGG Pathway,Chemical carcinogenesis - reactive oxygen species,-11,-9.2,13,116,EPHX2|HRAS|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA|NCF1,24,hsa05208,15,6.309573444801942e-10,TRUE,2053|3265|4233|5290|5296|5594|5604|5605|5747|5781|5894|7422|653361,-9.2,13,116,0.11206896551724138,9.2
KEGG Pathway,Acute myeloid leukemia,-11,-9.1,9,116,CSF1R|MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05221,35,7.943282347242822e-10,TRUE,1436|2475|3265|5290|5296|5594|5604|5605|5894,-9.1,9,116,0.07758620689655173,9.1
KEGG Pathway,Choline metabolism in cancer,-11,-9.1,10,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,24,hsa05231,27,7.943282347242822e-10,TRUE,2475|3265|5290|5296|5594|5604|5605|5894|7248|7249,-9.1,10,116,0.08620689655172414,9.1
KEGG Pathway,Apoptosis,-11,-9.1,11,116,ACTB|CASP8|HRAS|LMNA|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|EIF2AK3,24,hsa04210,21,7.943282347242822e-10,TRUE,60|841|3265|4000|5290|5296|5594|5604|5605|5894|9451,-9.1,11,116,0.09482758620689655,9.1
KEGG Pathway,Insulin signaling pathway,-11,-9.1,11,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,24,hsa04910,21,7.943282347242822e-10,TRUE,2475|3265|3667|5290|5296|5594|5604|5605|5894|7248|7249,-9.1,11,116,0.09482758620689655,9.1
KEGG Pathway,AGE-RAGE signaling pathway in diabetic complications,-11,-9.1,10,116,EDN1|HRAS|IL6|SMAD4|SERPINE1|PIK3CA|PIK3R2|MAPK1|TGFBR1|VEGFA,24,hsa04933,26,7.943282347242822e-10,TRUE,1906|3265|3569|4089|5054|5290|5296|5594|7046|7422,-9.1,10,116,0.08620689655172414,9.1
KEGG Pathway,Apelin signaling pathway,-11,-9,11,116,MTOR|GNAQ|HRAS|SMAD4|SERPINE1|MAPK1|MAP2K1|MAP2K2|RAF1|SLC8A1|TGFBR1,24,hsa04371,21,1e-9,TRUE,2475|2776|3265|4089|5054|5594|5604|5605|5894|6546|7046,-9,11,116,0.09482758620689655,9
KEGG Pathway,Prolactin signaling pathway,-11,-9,9,116,ESR1|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SLC2A2,24,hsa04917,33,1e-9,TRUE,2099|3265|5290|5296|5594|5604|5605|5894|6514,-9,9,116,0.07758620689655173,9
KEGG Pathway,C-type lectin receptor signaling pathway,-11,-8.9,10,116,CASP8|HRAS|IL6|IL10|PIK3CA|PIK3R2|MAPK1|PTGS2|PTPN11|RAF1,24,hsa04625,25,1.2589254117941663e-9,TRUE,841|3265|3569|3586|5290|5296|5594|5743|5781|5894,-8.9,10,116,0.08620689655172414,8.9
KEGG Pathway,Melanoma,-11,-8.9,9,116,FGFR1|HRAS|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05218,33,1.2589254117941663e-9,TRUE,2260|3265|4233|5290|5296|5594|5604|5605|5894,-8.9,9,116,0.07758620689655173,8.9
KEGG Pathway,Prostate cancer,-11,-8.9,10,116,CTNNB1|FGFR1|MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05215,25,1.2589254117941663e-9,TRUE,1499|2260|2475|3265|5290|5296|5594|5604|5605|5894,-8.9,10,116,0.08620689655172414,8.9
KEGG Pathway,Phospholipase D signaling pathway,-11,-8.8,11,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|TSC1|TSC2,24,hsa04072,20,1.584893192461111e-9,TRUE,2475|3265|5290|5296|5594|5604|5605|5781|5894|7248|7249,-8.8,11,116,0.09482758620689655,8.8
KEGG Pathway,HIF-1 signaling pathway,-11,-8.7,10,116,EDN1|MTOR|IL6|SERPINE1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|VEGFA,24,hsa04066,24,1.9952623149688828e-9,TRUE,1906|2475|3569|5054|5290|5296|5594|5604|5605|7422,-8.7,10,116,0.08620689655172414,8.7
KEGG Pathway,Pancreatic cancer,-11,-8.7,9,116,MTOR|SMAD4|PIK3CA|PIK3R2|MAPK1|MAP2K1|RAF1|TGFBR1|VEGFA,24,hsa05212,31,1.9952623149688828e-9,TRUE,2475|4089|5290|5296|5594|5604|5894|7046|7422,-8.7,9,116,0.07758620689655173,8.7
KEGG Pathway,mTOR signaling pathway,-11,-8.5,11,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TSC1|TSC2,24,hsa04150,18,3.1622776601683795e-9,TRUE,2475|3265|3667|5290|5296|5594|5604|5605|5894|7248|7249,-8.5,11,116,0.09482758620689655,8.5
KEGG Pathway,MicroRNAs in cancer,-11,-8.5,14,116,MTOR|HRAS|IRS1|MET|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VEGFA|ZEB2,24,hsa05206,11,3.1622776601683795e-9,TRUE,2475|3265|3667|4233|4851|5290|5296|5594|5604|5605|5743|5894|7422|9839,-8.5,14,116,0.1206896551724138,8.5
KEGG Pathway,Neurotrophin signaling pathway,-10,-8.4,10,116,HRAS|IRS1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|KIDINS220,24,hsa04722,22,3.981071705534969e-9,TRUE,3265|3667|5290|5296|5594|5604|5605|5781|5894|57498,-8.4,10,116,0.08620689655172414,8.4
KEGG Pathway,ErbB signaling pathway,-10,-8.3,9,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1,24,hsa04012,28,5.011872336272715e-9,TRUE,2475|3265|5290|5296|5594|5604|5605|5747|5894,-8.3,9,116,0.07758620689655173,8.3
KEGG Pathway,Endometrial cancer,-10,-8.2,8,116,CTNNB1|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05213,36,6.309573444801943e-9,TRUE,1499|3265|5290|5296|5594|5604|5605|5894,-8.2,8,116,0.06896551724137931,8.2
KEGG Pathway,Influenza A,-10,-8.2,11,116,ACTB|ADAR|CASP8|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TBK1,24,hsa05164,17,6.309573444801943e-9,TRUE,60|103|841|3569|5290|5296|5594|5604|5605|5894|29110,-8.2,11,116,0.09482758620689655,8.2
KEGG Pathway,Longevity regulating pathway,-10,-8.2,9,116,MTOR|HRAS|IRS1|PIK3CA|PIK3R2|PPARG|TSC1|TSC2|EHMT1,24,hsa04211,26,6.309573444801943e-9,TRUE,2475|3265|3667|5290|5296|5468|7248|7249|79813,-8.2,9,116,0.07758620689655173,8.2
KEGG Pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,-10,-8.2,9,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1,24,hsa05235,26,6.309573444801943e-9,TRUE,2475|3265|5290|5296|5594|5604|5605|5781|5894,-8.2,9,116,0.07758620689655173,8.2
KEGG Pathway,Relaxin signaling pathway,-10,-8.1,10,116,EDN1|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1|VEGFA,24,hsa04926,20,7.943282347242822e-9,TRUE,1906|3265|5290|5296|5594|5604|5605|5894|7046|7422,-8.1,10,116,0.08620689655172414,8.1
KEGG Pathway,Fc epsilon RI signaling pathway,-9.6,-7.7,8,116,ALOX5|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa04664,31,1.9952623149688786e-8,TRUE,240|3265|5290|5296|5594|5604|5605|5894,-7.7,8,116,0.06896551724137931,7.7
KEGG Pathway,Non-small cell lung cancer,-9.4,-7.5,8,116,HRAS|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05223,29,3.162277660168379e-8,TRUE,3265|4233|5290|5296|5594|5604|5605|5894,-7.5,8,116,0.06896551724137931,7.5
KEGG Pathway,Integrin signaling,-9.4,-7.5,10,116,ACTB|CTNNB1|FBN1|MTOR|KDR|MET|PIK3CA|PIK3R2|PTK2|VEGFA,24,hsa04518,17,3.162277660168379e-8,TRUE,60|1499|2200|2475|3791|4233|5290|5296|5747|7422,-7.5,10,116,0.08620689655172414,7.5
KEGG Pathway,Hepatitis C,-9.3,-7.4,10,116,CASP8|CTNNB1|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TBK1,24,hsa05160,17,3.981071705534969e-8,TRUE,841|1499|3265|5290|5296|5594|5604|5605|5894|29110,-7.4,10,116,0.08620689655172414,7.4
KEGG Pathway,Glioma,-9.3,-7.4,8,116,MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1,24,hsa05214,28,3.981071705534969e-8,TRUE,2475|3265|5290|5296|5594|5604|5605|5894,-7.4,8,116,0.06896551724137931,7.4
KEGG Pathway,Chemical carcinogenesis - receptor activation,-9.1,-7.2,11,116,EPHX2|ESR1|MTOR|HRAS|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,24,hsa05207,13,6.30957344480193e-8,TRUE,2053|2099|2475|3265|5290|5296|5594|5604|5605|5894|7422,-7.2,11,116,0.09482758620689655,7.2
KEGG Pathway,TNF signaling pathway,-9.1,-7.2,9,116,CASP8|EDN1|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|PTGS2|TNFAIP3,24,hsa04668,20,6.30957344480193e-8,TRUE,841|1906|3569|5290|5296|5594|5604|5743|7128,-7.2,9,116,0.07758620689655173,7.2
KEGG Pathway,T cell receptor signaling pathway,-9,-7.1,9,116,HRAS|IL10|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1,24,hsa04660,19,7.943282347242822e-8,TRUE,3265|3586|5290|5296|5594|5604|5605|5781|5894,-7.1,9,116,0.07758620689655173,7.1
