method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.3766981080942926,0.8768573702063577,2.161466328764927,0.23002476274975392,2111,0.16459022345372648,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,EO_ln_S,gas_serum.rds,angina,Angina,natural_log_transformed,2134,45,2089,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5217860275447924
same_sample_unweighted,odds_ratio,0.7335478781161477,0.469463520429539,1.1461859464530304,0.22757491621507123,2049,0.17332914463186583,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFNA_ln_S,PFC_serum.rds,angina,Angina,natural_log_transformed,2072,45,2027,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5244379853171987
same_sample_unweighted,odds_ratio,1.3240890575385544,0.8816210842511345,1.9886228489902196,0.2073987017517138,2201,0.1758796700963827,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PH_ln_U,PAH_urine.rds,angina,Angina,natural_log_transformed,2224,46,2178,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5244379853171987
same_sample_unweighted,odds_ratio,1.4605106884002343,0.8393234414821383,2.5414415534070613,0.2823061007484353,1055,0.17967482817586472,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,o_TLD_ln_U,AA_urine.rds,angina,Angina,natural_log_transformed,1078,22,1056,15,2,2013-2014,WTSA2YR,ok,,0.5244379853171987
same_sample_unweighted,odds_ratio,1.293026085208842,0.8881258084937576,1.8825220943258454,0.19154060637364284,2120,0.17970134442245206,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEOHP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5244379853171987
same_sample_unweighted,odds_ratio,0.7270515504794616,0.4546501290241782,1.1626609634734715,0.23939802643083238,2205,0.18302533715768007,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Mo_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2228,46,2182,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5244379853171987
same_sample_unweighted,odds_ratio,0.8245551383408982,0.6176378835002769,1.1007925425676597,0.14733940109395968,2162,0.1904332403324843,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3PBA_ln_U,pesticides_urine.rds,angina,Angina,natural_log_transformed,2185,40,2145,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.5280814078230659
same_sample_unweighted,odds_ratio,1.408094682809716,0.8386129437423513,2.364297678150497,0.26426973842911794,2206,0.19530953809210858,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Tl_ln_U,HM_urine.rds,angina,Angina,natural_log_transformed,2229,46,2183,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5280814078230659
same_sample_unweighted,odds_ratio,0.8955728851469879,0.7569667133571069,1.0595588662722664,0.0857405197872976,2120,0.1983235734286381,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X25_DCP_ln_U,PCCP_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5280814078230659
same_sample_unweighted,odds_ratio,0.36618221788774075,0.07901503912006143,1.697011330886507,0.781253849851425,820,0.1984735492489375,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X5OHIMI_binary_U,pesticides_urine.rds,angina,Angina,binary_above_detection_threshold,843,21,822,15,2,2015-2016,WTSSBI2Y,ok,,0.5280814078230659
same_sample_unweighted,odds_ratio,0.8811563332901935,0.7241389177024571,1.0722203498755332,0.10007314827610335,2120,0.20613048102771317,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MeP_ln_U,PCCP_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5312407672358759
same_sample_unweighted,odds_ratio,2.2234345055006806,0.6421551022517085,7.69854663291808,0.6329450864164815,1052,0.206791708051549,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHpA_binary_S,PFC_serum.rds,angina,Angina,binary_above_detection_threshold,1075,23,1052,15,2,2013-2014,WTSB2YR,ok,,0.5312407672358759
same_sample_unweighted,odds_ratio,1.251035476704941,0.8714935194272551,1.7958708000524601,0.18434626566836185,2120,0.22438496692973134,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEHHP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5666671198733892
same_sample_unweighted,odds_ratio,1.2163325779230643,0.8792731003868597,1.682600024345152,0.16546973389465255,2120,0.23659472748382962,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BPA_ln_U,PCCP_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.5875435732515102
same_sample_unweighted,odds_ratio,1.2610120878147901,0.8524079357089963,1.8654817945733881,0.19969207056854127,2200,0.2454949998659542,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PY_ln_U,PAH_urine.rds,angina,Angina,natural_log_transformed,2223,45,2178,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.590822290326976
same_sample_unweighted,odds_ratio,0.6026693133988742,0.25413439269845084,1.4292056161939726,0.4404006735145088,3111,0.25021321493424653,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BDCM_binary_S,VOC_serum.rds,angina,Angina,binary_above_detection_threshold,3134,62,3072,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.590822290326976
same_sample_unweighted,odds_ratio,0.8918744399624291,0.733053684082125,1.085104725521279,0.0999999913162458,2157,0.25249953922216273,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DEA_ln_U,pesticides_urine.rds,angina,Angina,natural_log_transformed,2180,42,2138,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.590822290326976
same_sample_unweighted,odds_ratio,0.8321561125207374,0.6068517986929768,1.1411085821893938,0.16099814657954567,2067,0.2537760173216541,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_MHA_ln_U,VOC_urine.rds,angina,Angina,natural_log_transformed,2090,44,2046,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.590822290326976
same_sample_unweighted,odds_ratio,0.54273740518105,0.1831021264529265,1.6087409616096857,0.5537957664611912,1132,0.26979751460640167,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,A_a_C_binary_U,AA_urine.rds,angina,Angina,binary_above_detection_threshold,1155,26,1129,15,2,2013-2014,WTSA2YR,ok,,0.6184589180977514
same_sample_unweighted,odds_ratio,0.7089271946173058,0.36988083259930077,1.3587559099403668,0.33174439647351317,2158,0.2997590289795089,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PMA_binary_U,VOC_urine.rds,angina,Angina,binary_above_detection_threshold,2181,45,2136,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.6569258694925377
same_sample_unweighted,odds_ratio,1.404006499876944,0.7387087088990463,2.6684865467940497,0.32747005675426727,2208,0.3001010666103022,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,angina,Angina,binary_above_detection_threshold,2231,46,2185,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.6569258694925377
same_sample_unweighted,odds_ratio,1.2491039529105343,0.8185568616816259,1.9061115460828901,0.21538141194363414,1025,0.30173980913350745,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,o_ANS_ln_U,AA_urine.rds,angina,Angina,natural_log_transformed,1048,23,1025,15,2,2013-2014,WTSA2YR,ok,,0.6569258694925377
same_sample_unweighted,odds_ratio,0.6412289207947194,0.27445600634108414,1.49814367098444,0.43250152770730677,1131,0.3042139932549336,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PhIP_binary_U,AA_urine.rds,angina,Angina,binary_above_detection_threshold,1154,26,1128,15,2,2013-2014,WTSA2YR,ok,,0.6569258694925377
same_sample_unweighted,odds_ratio,0.4377599631837733,0.08575468556072363,2.234674223497222,0.8307208612466004,988,0.3200189570150788,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFBA_binary_U,PFC_urine.rds,angina,Angina,binary_above_detection_threshold,1011,21,990,15,2,2013-2014,WTSSBH2Y,ok,,0.6811832085035249
same_sample_unweighted,odds_ratio,1.1928976969465006,0.8383958854995059,1.6972947267417184,0.17982418398672156,2120,0.32665345417812025,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCNP_ln_U,Phthalates_urine.rds,angina,Angina,natural_log_transformed,2143,45,2098,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.6855121784864777
