method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.141958038899759,0.947932377849739,1.3756974580464187,0.09501015281949592,2189,0.16236551946276734,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BMA_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2212,175,2037,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5238879772929297
same_sample_unweighted,odds_ratio,0.7350887514551369,0.4759367595190718,1.1353514132043396,0.22179298108502543,3116,0.16525325458233353,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BDCM_binary_S,VOC_serum.rds,CVD,binary_above_detection_threshold,3139,243,2896,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.5238879772929297
same_sample_unweighted,odds_ratio,0.8879556212653474,0.7470358780116062,1.0554582564834714,0.08816924882690007,1913,0.17772636785902307,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BDCPP_ln_U,BFR_urine.rds,CVD,natural_log_transformed,1936,174,1762,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.5516922668957174
same_sample_unweighted,odds_ratio,1.1303302164158313,0.942336744434501,1.3558278457128186,0.09280905593336372,2177,0.18682831563587504,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_HPMA_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2200,173,2027,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.5577720755169837
same_sample_unweighted,odds_ratio,1.5739823045910242,0.8021705676955875,3.0883959034829838,0.34390577007240575,3138,0.18717183742180662,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X25_DMF_binary_S,VOC_serum.rds,CVD,binary_above_detection_threshold,3161,243,2918,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.5577720755169837
same_sample_unweighted,odds_ratio,1.1253730835235762,0.940627575444935,1.3464038373745315,0.09149280544269199,1921,0.19671353677639297,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DPHP_ln_U,BFR_urine.rds,CVD,natural_log_transformed,1944,178,1766,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.5747120976408343
same_sample_unweighted,odds_ratio,1.1257720513385396,0.9285780273122608,1.364842451897472,0.09825177171642753,2121,0.22790607064709661,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCNP_ln_U,Phthalates_urine.rds,CVD,natural_log_transformed,2144,190,1954,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.6428823028584596
same_sample_unweighted,odds_ratio,1.61227057651685,0.740783981971243,3.5090073154455497,0.396787750215556,1024,0.2286762553791836,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DPCP_binary_U,BFR_urine.rds,CVD,binary_above_detection_threshold,1047,83,964,15,2,2013-2014,WTSSCH2Y,ok,,0.6428823028584596
same_sample_unweighted,odds_ratio,0.91702774203681,0.7935637726371876,1.0597004407982251,0.07377881453359668,2120,0.24038837038297783,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BPS_ln_U,PCCP_urine.rds,CVD,natural_log_transformed,2143,190,1953,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.6632938367974758
same_sample_unweighted,odds_ratio,0.7358619181387793,0.43784832977671073,1.2367130938766588,0.2648874788715222,1012,0.2469054988405078,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DETP_binary_U,pesticides_urine.rds,CVD,binary_above_detection_threshold,1035,104,931,15,2,2015-2016,WTSB2YR,ok,,0.663438023367821
same_sample_unweighted,odds_ratio,0.6443325247300107,0.30501486243667625,1.361128435212371,0.3815653944521403,1013,0.24934583428589246,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MDA_binary_U,pesticides_urine.rds,CVD,binary_above_detection_threshold,1036,105,931,15,2,2015-2016,WTSB2YR,ok,,0.663438023367821
same_sample_unweighted,odds_ratio,0.8419349263677999,0.6252864167055496,1.1336475594219657,0.15178488865629142,974,0.2569922272550761,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sm_PFOS_ln_S,PFC_serum.rds,CVD,natural_log_transformed,997,97,900,15,2,2015-2016,WTSB2YR,ok,,0.6677657960058193
same_sample_unweighted,odds_ratio,1.351895683276998,0.7974320850611448,2.291884127439949,0.26932455352017315,3142,0.26292850626633996,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Furan_binary_S,VOC_serum.rds,CVD,binary_above_detection_threshold,3165,244,2921,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.6677657960058193
same_sample_unweighted,odds_ratio,0.9450375293097443,0.8550983389930753,1.0444365180916322,0.051025509836028576,2157,0.26790943802238765,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DEA_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,2180,189,1991,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.6677657960058193
same_sample_unweighted,odds_ratio,0.8802904193294683,0.7022006683551888,1.1035466886956644,0.11532490455925448,2200,0.2688989782573769,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Perchlorate_ln_U,PERNT_urine.rds,CVD,natural_log_transformed,2223,176,2047,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.6677657960058193
same_sample_unweighted,odds_ratio,1.6164538959104617,0.6615751494254334,3.9495485885063677,0.4558076072803343,1029,0.29207020736128775,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CYHA_Cys_binary_U,VOC_urine.rds,CVD,binary_above_detection_threshold,1052,89,963,15,2,2015-2016,WTSA2YR,ok,,0.70280270122912
same_sample_unweighted,odds_ratio,1.2152243858544858,0.8453788544424474,1.7468739609643846,0.18515602631984018,1924,0.29244139245775463,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BCPP_binary_U,BFR_urine.rds,CVD,binary_above_detection_threshold,1947,178,1769,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.70280270122912
same_sample_unweighted,odds_ratio,0.6322576916029338,0.258432217745317,1.5468264447779527,0.45646941074700287,877,0.31520658940917495,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TBPPP_binary_U,BFR_urine.rds,CVD,binary_above_detection_threshold,900,95,805,15,2,2015-2016,WTSSBI2Y,ok,,0.7454886003486836
same_sample_unweighted,odds_ratio,1.338215364163236,0.7459807585046578,2.400625405502815,0.29816485666394343,1042,0.32851960282985493,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X26_DMA_binary_U,AA_urine.rds,CVD,binary_above_detection_threshold,1065,82,983,15,2,2013-2014,WTSA2YR,ok,,0.7506332162027618
same_sample_unweighted,odds_ratio,1.1262586624100184,0.8868080055640665,1.4303643705232263,0.12195529967738632,2175,0.3295813940548804,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CMAC_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2198,172,2026,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.7506332162027618
same_sample_unweighted,odds_ratio,0.5774890618553489,0.19022872673539193,1.7531191123749692,0.5665728234794936,3235,0.33249525013008235,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Se_ln_S,HM_serum.rds,CVD,natural_log_transformed,3258,256,3002,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.7506332162027618
same_sample_unweighted,odds_ratio,1.0866713427821086,0.9120571168838304,1.2947156327867102,0.08937504666589456,2196,0.35236867179874987,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Thiocyanate_ln_U,PERNT_urine.rds,CVD,natural_log_transformed,2219,175,2044,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.7776399863080211
same_sample_unweighted,odds_ratio,1.0824452833326457,0.9151966977006464,1.2802578881161366,0.08563366521563935,1016,0.35489610113386194,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DMTP_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,1039,104,935,15,2,2015-2016,WTSB2YR,ok,,0.7776399863080211
same_sample_unweighted,odds_ratio,1.1227489437865994,0.871294836616063,1.4467722495288857,0.1293671465796924,2210,0.3708015669508662,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sb_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.8007164271837545
same_sample_unweighted,odds_ratio,1.1141848207054494,0.8680541197194926,1.4301041680345794,0.12736165222790077,1016,0.3959119096859462,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DEP_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,1039,105,934,15,2,2015-2016,WTSB2YR,ok,,0.8092101841311092
same_sample_unweighted,odds_ratio,1.1133456059387643,0.8592495269957448,1.4425826250926674,0.13217868151602644,2211,0.41661604474370395,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DMA_ln_U,HM_urine.rds,CVD,natural_log_transformed,2234,178,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.8092101841311092
same_sample_unweighted,odds_ratio,0.8709302086419195,0.623655715379306,1.2162470568616977,0.1703926044018124,3126,0.41734871496395864,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,m_p_Xylene_binary_S,VOC_serum.rds,CVD,binary_above_detection_threshold,3149,243,2906,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.8092101841311092
