exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh
CEMA_AAM_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2158,813,1345,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9651155660087619,0.7684988507431355,1.2120357172319856,0.11154671526066488,30,0.7524485309977715,0.9924688003756363
MCOP_ln_U,Phthalates_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.022604116250943,0.8857585206367683,1.1805917236016072,0.07034484751971692,30,0.7528720199531391,0.9924688003756363
n_PFOS_ln_S,PFC_serum.rds,Hypertension,Hypertension,natural_log_transformed,997,399,598,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9539698935301895,0.6929262034229362,1.31335566942983,0.14999586010350377,15,0.7577241961953984,0.9924688003756363
Furan_binary_S,VOC_serum.rds,Hypertension,Hypertension,binary_above_detection_threshold,3165,1236,1929,30,4,2013-2014|2015-2016,WTSVOC2Y,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9281879825965571,0.5617777075713536,1.5335833363007556,0.2458673154296895,30,0.7639098455434186,0.9924688003756363
BPA_ln_U,PCCP_urine.rds,Hypertension,Hypertension,natural_log_transformed,2145,869,1276,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0227051552263104,0.8775590892697859,1.191858015392198,0.07494701152877925,30,0.7665774520283752,0.9924688003756363
MeA_a_C_binary_U,AA_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,1154,429,725,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0795802599553797,0.6251813969042763,1.8642485900196704,0.25629776451914627,15,0.7692199557443676,0.9924688003756363
PNP_ln_U,pesticides_urine.rds,Hypertension,Hypertension,natural_log_transformed,2164,839,1325,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0218766600859044,0.8781961721199124,1.1890645183610973,0.07419484056937659,30,0.7725423463505192,0.9924688003756363
X1_NP_ln_U,PAH_urine.rds,Hypertension,Hypertension,natural_log_transformed,2160,805,1355,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,1.0181325104069539,0.8955787503047056,1.1574569052636439,0.06280023900070218,30,0.7767325502057678,0.9924688003756363
BuP_binary_U,PCCP_urine.rds,Hypertension,Hypertension,binary_above_detection_threshold,2147,869,1278,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9601076138252883,0.7151585198537489,1.2889542731222723,0.14422226123419188,30,0.7796732733038308,0.9924688003756363
X2_HPMA_ln_U,VOC_urine.rds,Hypertension,Hypertension,natural_log_transformed,2200,827,1373,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.9861757742433842,0.8897084449747215,1.0931026486234716,0.050405022738117464,30,0.7843064058880783,0.9924688003756363
FA_ln_S,gas_serum.rds,Hypertension,Hypertension,natural_log_transformed,1968,743,1225,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8810550836735085,0.34335152198817864,2.2608260361626096,0.461429804476182,30,0.7856269915133525,0.9924688003756363
