exposure,outcome,estimate_same_sample_unweighted,estimate_survey_weighted,conf_low_same_sample_unweighted,conf_low_survey_weighted,conf_high_same_sample_unweighted,conf_high_survey_weighted,p_value_same_sample_unweighted,p_value_survey_weighted,p_fdr_bh_same_sample_unweighted,p_fdr_bh_survey_weighted,direction_consistent
DBCM_binary_S,CVD,1.1385389984870165,0.8722883811663864,0.7498259395231757,0.5239265378675804,1.7287626137609142,1.4522780674839286,0.5426160950870458,0.5881549587070449,0.8219194118987619,0.8942356004831602,FALSE
X1_AN_ln_U,CVD,1.0638240589452752,0.9921398786920593,0.8674915259099135,0.7215136562311395,1.3045909897548977,1.3642729148507715,0.5522649757594804,0.9585827034930681,0.8219194118987619,0.9850263642790837,FALSE
GLYP_ln_U,CVD,1.0730630011970235,1.2320029598333406,0.8466186018813445,0.9507609789780402,1.3600743026189064,1.5964383547478016,0.5598160206470417,0.11054776871918721,0.8219194118987619,0.5490539179719631,TRUE
Mn_binary_U,CVD,1.1162276533676898,1.2026156285495992,0.7689992346422105,0.7571602477005802,1.6202411108022035,1.910143003973027,0.563023030871298,0.4218447087227496,0.8219194118987619,0.8665324003372114,TRUE
PNP_ln_U,CVD,0.9399612684082472,0.9131724583136761,0.7611621613834149,0.7431914653854101,1.1607607825667887,1.1220311016222455,0.5651830202021301,0.3749662246345066,0.8219194118987619,0.8595379610852535,TRUE
AsC_binary_U,CVD,1.134238170540904,1.2822221236145537,0.7381892092146279,0.734814050348358,1.7427730065042564,2.2374280588499764,0.5654368708742699,0.36907863927211426,0.8219194118987619,0.8595379610852535,TRUE
PPDA_binary_U,CVD,1.1990736495885186,1.5477424847222219,0.6428144876311513,0.657775967834181,2.2366913702208433,3.641827789637339,0.5681724793662583,0.29375697564388953,0.8219194118987619,0.7318322239421191,TRUE
GAM_Cys_binary_U,CVD,1.1081083600234733,0.9002719257487456,0.7742692895678895,0.6211750671013272,1.5858876932070887,1.3047683064187545,0.5746339318159214,0.5674495251480502,0.8232736138516565,0.8845138616998544,FALSE
NDMA_binary_U,CVD,0.8510924499426601,0.767260119906498,0.47260208294188083,0.3698701222910788,1.5327024245013299,1.5916075836362107,0.591133198253687,0.4510244178197258,0.8388461575218988,0.8665324003372114,TRUE
MA_ln_U,CVD,1.0742179594661512,1.0570491551984118,0.8205326344509634,0.763835225347589,1.406335563011155,1.4628193089644645,0.6024572846704404,0.7297029527656342,0.84079134729113,0.9548280976492394,TRUE
IHg_binary_S,CVD,0.9145860431464156,0.9158023127086001,0.6528003335853323,0.5811328349469891,1.2813529455846646,1.4432051082416057,0.6037897594641001,0.6956804735426299,0.84079134729113,0.9548280976492394,TRUE
Sr_ln_U,CVD,0.94513379721531,1.0829914132159921,0.7585545856018979,0.812384793571768,1.1776052924785003,1.4437375125436263,0.615019373120679,0.5753824769327216,0.8484989499535293,0.8845138616998544,FALSE
BuP_binary_U,CVD,0.9017451523193326,0.9762869378174303,0.5983472675248531,0.4932502028458832,1.3589839276697981,1.9323584246973813,0.621156982470614,0.9432477425783026,0.8491044989735916,0.9850263642790837,TRUE
Nitrate_ln_U,CVD,1.0682914988165872,1.1644346081837014,0.8112559773676282,0.7872325067998608,1.4067652606356376,1.7223729267072103,0.6380505450298051,0.43331192140611074,0.8598965455340978,0.8665324003372114,TRUE
Toluene_ln_S,CVD,1.0401739770874852,1.0395753138752946,0.8725230365062414,0.8310539722677301,1.2400382079794598,1.3004171441114973,0.6604845373375378,0.7257676169919084,0.8598965455340978,0.9548280976492394,TRUE
X3PBA_ln_U,CVD,0.9692092932731643,0.8942673046564507,0.8427501620856067,0.7612417369367708,1.1146442877475775,1.050538841177514,0.6610726508507823,0.16676344017604522,0.8598965455340978,0.6309365786777807,TRUE
Mn_ln_S,CVD,0.9092571336127319,1.5118466010503886,0.5929537469006334,0.7846902952195391,1.394288406721523,2.9128436518615657,0.6627499220812183,0.20787123823560194,0.8598965455340978,0.6309365786777807,FALSE
DBUP_binary_U,CVD,1.0835244866565392,1.3841433829053744,0.7500081152085228,0.8599095115594716,1.565350146721953,2.227970360469995,0.6691072607838793,0.17333959690728523,0.8598965455340978,0.6309365786777807,TRUE
MeA_a_C_binary_U,CVD,0.8396794853184235,0.8329757204000152,0.37313362591118887,0.36837406951902074,1.8895687472359493,1.8835434092358065,0.6728476929668605,0.6399497687304898,0.8598965455340978,0.9250800860952663,TRUE
DMP_ln_U,CVD,1.0497427145331975,1.0239256635114804,0.8366730196226754,0.7980658757450538,1.3170733857445174,1.3137057932951257,0.6749282991416117,0.8424588086040594,0.8598965455340978,0.9568297563098194,TRUE
Pb_ln_S,CVD,1.0532582604882779,1.0450698009250057,0.826269043367515,0.7171954783809665,1.3426050173264998,1.522835714568297,0.675220777365701,0.8126295012354029,0.8598965455340978,0.9568297563098194,TRUE
Chloroform_binary_S,CVD,1.0620419315999121,0.7424651094001409,0.7914421559144649,0.5214432127336878,1.4251617203448204,1.0571706088311876,0.688304819796099,0.09555688743608692,0.8691306622849047,0.501835597698979,FALSE
Norharman_ln_U,CVD,1.0617354723803494,0.8696939442748882,0.7810740341454846,0.49302964946634625,1.4432463044863597,1.534121847493558,0.7021206439425569,0.6077289377822053,0.8703160811821968,0.914662744742915,FALSE
EtP_binary_U,CVD,0.9353776699260571,0.9777912553089441,0.6628671437481535,0.5540541203135326,1.3199196756819747,1.7255999078530608,0.7037893399043886,0.9361787267610487,0.8703160811821968,0.9850263642790837,TRUE
X4_MDA_binary_U,CVD,0.9104389620483279,0.8312207780823616,0.5584096503967257,0.4493609549075466,1.4843925118893266,1.5375790316673175,0.7067667504902404,0.5314413815677257,0.8703160811821968,0.8845138616998544,TRUE
BCETP_ln_U,CVD,1.0289261871769757,0.9931379389596311,0.8833369820313772,0.7878381166563362,1.1985110101740797,1.2519360829951176,0.7141143003684122,0.9519809905572292,0.8704801733993061,0.9850263642790837,FALSE
X2_AN_ln_U,CVD,0.93944545689896,0.9247911000193666,0.6688351960131123,0.5752846893327415,1.3195444434577774,1.486635390326484,0.7185843042155345,0.7304202380129416,0.8704801733993061,0.9548280976492394,TRUE
X14_DCB_binary_S,CVD,1.05261329291334,1.1337137631294474,0.779273914669334,0.7231736184287322,1.4218296334069076,1.7773144151770495,0.7381897026709637,0.5728803487387535,0.8811856940118272,0.8845138616998544,TRUE
PFUnDA_binary_S,CVD,1.062752723932933,0.7767318154348716,0.7426539986194927,0.4787971758946155,1.5208204013260187,1.2600582114576673,0.7392497432985128,0.29469753984246405,0.8811856940118272,0.7318322239421191,FALSE
X25_DCP_ln_U,CVD,0.9862930273848317,0.9831783491979136,0.9074589650810152,0.8844237343383732,1.0719756741629525,1.0929598887965914,0.7453916868589715,0.7457102516400183,0.8814552487459266,0.9568297563098194,TRUE
X34_MHA_ln_U,CVD,1.0236724119629574,1.037357132068765,0.8593974838595723,0.7583099299793703,1.219348702660723,1.4190897110937322,0.7932010909625254,0.8126945037373174,0.9206387317938559,0.9568297563098194,TRUE
